id;time;subscriber;aprefix;destination;invoicegroup;prefix;pbx;direction;volumetimesecs;price;free;forward;servingnetwork;reason;billed;zone
933572164;01-03-2019 08:07;46840836381;Sweden;464186515XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
933576248;01-03-2019 08:29;4578772911;Danmark Fastnet;45602006XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
933577606;01-03-2019 08:36;46840308799;Sweden;4420268582XX;Udland;United Kingdom;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Europa 1
933578661;01-03-2019 08:41;4578772914;Danmark Fastnet;45298090XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;360;2,45;no;0;;0;yes;Norden Mobil (DK)
933578804;01-03-2019 08:41;4569804979;Danmark Fastnet;45401507XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
933579858;01-03-2019 08:46;46840308799;Sweden;467304921XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933580143;01-03-2019 08:48;4578772919;Danmark Fastnet;45202843XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933580347;01-03-2019 08:49;46840308799;Sweden;467224572XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933580961;01-03-2019 08:52;4578772919;Danmark Fastnet;45612764XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;480;3,25;no;0;;0;yes;Norden Mobil (DK)
933581108;01-03-2019 08:53;46840308799;Sweden;466602929XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
933581173;01-03-2019 08:53;4578772922;Danmark Fastnet;3584051291XX;Udland Mobil;Finland-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933581477;01-03-2019 08:54;4578772918;Danmark Fastnet;45536140XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
933581483;01-03-2019 08:54;4578772922;Danmark Fastnet;45509090XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933581782;01-03-2019 08:56;46840308799;Sweden;467350978XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933582056;01-03-2019 08:57;46840308799;Sweden;47481070XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;120;1,1;no;0;;0;yes;Norden Mobil
933582517;01-03-2019 08:59;46840836382;Sweden;46315591XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933582633;01-03-2019 08:59;46840836384;Sweden;467229999XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;180;1,55;no;0;;0;yes;Norden Mobil
933582732;01-03-2019 09:00;46840836389;Sweden;461011477XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933582871;01-03-2019 09:00;46840836382;Sweden;468553245XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933583603;01-03-2019 09:03;46840836389;Sweden;3582079192XX;Udland;Finland;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933583763;01-03-2019 09:04;4578772918;Danmark Fastnet;45289600XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933584017;01-03-2019 09:05;46840308799;Sweden;467367956XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933584054;01-03-2019 09:05;46840836388;Sweden;467304488XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933584442;01-03-2019 09:07;46840308799;Sweden;46844563XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
933584464;01-03-2019 09:07;46840836388;Sweden;467352968XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933584506;01-03-2019 09:07;46840308799;Sweden;467350233XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933584874;01-03-2019 09:08;46840836389;Sweden;468524866XX;Udland;Sweden;firebrand-;ip-pstn;420;0,69;no;0;;0;yes;Norden
933584878;01-03-2019 09:08;46840308799;Sweden;47479000XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933584964;01-03-2019 09:09;46840836388;Sweden;467629575XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933585163;01-03-2019 09:09;46840836388;Sweden;467203341XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933585217;01-03-2019 09:10;46840308799;Sweden;467074006XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;720;5,6;no;0;;0;yes;Norden Mobil
933585268;01-03-2019 09:10;4578772922;Danmark Fastnet;45311414XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933585303;01-03-2019 09:10;46840836388;Sweden;467697855XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933585491;01-03-2019 09:11;46840836388;Sweden;467232340XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933585881;01-03-2019 09:12;46840836382;Sweden;468553245XX;Udland;Sweden;firebrand-;ip-pstn;300;0,55;no;0;;0;yes;Norden
933586141;01-03-2019 09:13;4578772922;Danmark Fastnet;45443480XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
933586745;01-03-2019 09:16;46840836388;Sweden;467352624XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933586921;01-03-2019 09:16;4578772922;Danmark Fastnet;45223449XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
933587011;01-03-2019 09:17;46840836388;Sweden;467054537XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933587154;01-03-2019 09:17;4578772918;Danmark Fastnet;45536140XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933587242;01-03-2019 09:18;4578772919;Danmark Fastnet;45821005XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933587341;01-03-2019 09:18;4578772922;Danmark Fastnet;45226822XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
933587345;01-03-2019 09:18;46840836388;Sweden;467398114XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933587576;01-03-2019 09:19;46840836388;Sweden;444007092XX;Udland;United Kingdom;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Europa 1
933587822;01-03-2019 09:20;46840836388;Sweden;467051723XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933588232;01-03-2019 09:22;4578772922;Danmark Fastnet;45251726XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
