zone;price_minute;price_call;country_code
Danmark;0,0800;0,15;45
Danmark Mobil;0,5500;0,15;45
Afghanistan;5,6800;0,15;93
Afghanistan Mobil;5,6800;0,15;93
Albanien;3,2080;0,15;355
Albanien Mobil;3,2080;0,15;355
Algeriet;2,2400;0,15;213
Algeriet Mobil;2,2400;0,15;213
Andorra;0,7200;0,15;376
Andorra Mobil;3,1840;0,15;376
Angola;3,1520;0,15;244
Angola Mobil;3,1520;0,15;244
Anguilla;2,8800;0,15;1264
Anguilla Mobil;2,8800;0,15;1264
Antigua og Barbuda;2,8800;0,15;1268
Antigua og Barbuda Mobil;2,8800;0,15;1268
Argentina;0,8800;0,15;54
Argentina Mobil;1,7760;0,15;54
Armenien;3,4400;0,15;374
Armenien Mobil;3,4400;0,15;374
Aruba;2,4880;0,15;297
Aruba Mobil;2,4880;0,15;297
Ascension;7,2080;0,15;247
Ascension Mobil;7,2080;0,15;257
Aserbajdsjan;2,8000;0,15;994
Aserbajdsjan Mobil;2,8000;0,15;994
Australien;0,2480;0,15;61
Australien Mobil;1,5600;0,15;61
Australske Eksterritoriale Områder;9,5360;0,15;
Australske Eksterritoriale Områder Mobil;9,5360;0,15;
Bahamas;1,5200;0,15;1242
Bahamas Mobil;1,5200;0,15;1242
Bahrain;3,1520;0,15;973
Bahrain Mobil;3,1520;0,15;973
Bangladesh;3,1520;0,15;880
Bangladesh Mobil;3,1520;0,15;880
Barbados;2,8320;0,15;1246
Barbados Mobil;2,8320;0,15;1246
Belgien;0,1500;0,15;32
Belgien Mobil;1,3000;0,15;32
Belize;2,9920;0,15;501
Belize Mobil;2,9920;0,15;501
Benin;2,5600;0,15;229
Benin Mobil;2,5600;0,15;229
Bermuda;0,7440;0,15;1441
Bermuda Mobil;0,7440;0,15;1441
Bhutan;3,1520;0,15;975
Bhutan Mobil;3,1520;0,15;975
Bolivia;2,8720;0,15;591
Bolivia Mobil;2,8720;0,15;591
Bosnien Hercegovina;1,2560;0,15;387
Bosnien Hercegovina Mobil;2,0240;0,15;387
Botswana;1,7440;0,15;267
Botswana Mobil;1,7440;0,15;267
Brasilien;0,4240;0,15;55
Brasilien Mobil;1,3600;0,15;55
