Land;TilFastnet;TilMobil;
Danmark;0,0800;0,15;45
Danmark Mobil;0,5500;0,15;45
Afghanistan;56,800;0,15;93
Afghanistan Mobil;56,800;0,15;93
Albanien;32,080;0,15;355
Albanien Mobil;32,080;0,15;355
Algeriet;22,400;0,15;213
Algeriet Mobil;22,400;0,15;213
Andorra;0,7200;0,15;376
Andorra Mobil;31,840;0,15;376
Angola;31,520;0,15;244
Angola Mobil;31,520;0,15;244
Anguilla;28,800;0,15;1264
Anguilla Mobil;28,800;0,15;1264
Antigua og Barbuda;28,800;0,15;1268
Antigua og Barbuda Mobil;28,800;0,15;1268
Argentina;0,8800;0,15;54
Argentina Mobil;17,760;0,15;54
Armenien;34,400;0,15;374
Armenien Mobil;34,400;0,15;374
Aruba;24,880;0,15;297
Aruba Mobil;24,880;0,15;297
Ascension;72,080;0,15;247
Ascension Mobil;72,080;0,15;257
Aserbajdsjan;28,000;0,15;994
Aserbajdsjan Mobil;28,000;0,15;994
Australien;0,2480;0,15;61
Australien Mobil;15,600;0,15;61
Australske Eksterritoriale Områder;95,360;0,15;
Australske Eksterritoriale Områder Mobil;95,360;0,15;
Bahamas;15,200;0,15;1242
Bahamas Mobil;15,200;0,15;1242
Bahrain;31,520;0,15;973
Bahrain Mobil;31,520;0,15;973
Bangladesh;31,520;0,15;880
Bangladesh Mobil;31,520;0,15;880
Barbados;28,320;0,15;1246
Barbados Mobil;28,320;0,15;1246
Belgien;0,1500;0,15;32
Belgien Mobil;13,000;0,15;32
Belize;29,920;0,15;501
Belize Mobil;29,920;0,15;501
Benin;25,600;0,15;229
Benin Mobil;25,600;0,15;229
Bermuda;0,7440;0,15;1441
Bermuda Mobil;0,7440;0,15;1441
Bhutan;31,520;0,15;975
Bhutan Mobil;31,520;0,15;975
Bolivia;28,720;0,15;591
Bolivia Mobil;28,720;0,15;591
Bosnien Hercegovina;12,560;0,15;387
Bosnien Hercegovina Mobil;20,240;0,15;387
Botswana;17,440;0,15;267
Botswana Mobil;17,440;0,15;267
Brasilien;0,4240;0,15;55
Brasilien Mobil;13,600;0,15;55
Brunei Darussalam;0,9680;0,15;673
Brunei Darussalam Mobil;0,9680;0,15;673
